leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,level,country,state,chamber,district,party,votesmart_id,transparencydata_id,photo_url,created_at,updated_at,leadership,order,Rules,Appropriations,Calendar,Aging,Criminal Commitments,Dyslexia,Environmental Flows,Bexar,Criminal Justice,Aquifer,HHS,Windstorm,Finance Weights,Rating
TXL000377,Stefani Carter,Stefani,,Carter,,,TRUE,state,us,tx,lower,102,Republican,117470,ec1dc9e6bd4145fca90f0326e7a51cfc,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2210.jpg,24:08.4,43:28.3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TXL000230,Joaquin Castro,Joaquin,,Castro,,,TRUE,state,us,tx,lower,125,Democratic,49227,c36e561731a94ffd94adb7c3487ef2b3,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2495.jpg,51:42.2,43:28.2,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,45
TXL000231,Norma Chavez,Norma,,Chavez,,,FALSE,state,us,tx,lower,,,10060,54aa6308af1d4657824337c271291e55,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2585.jpg,51:42.2,41:26.1,0,55,0,1,1,0,0,0,0,0,0,0,0,0,0,45
TXL000232,Warren Chisum,Warren,,Chisum,,,TRUE,state,us,tx,lower,88,Republican,5477,529f179bea874038946c4f6914e2c454,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2480.jpg,51:42.2,43:28.4,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,100
TXL000233,Wayne Christian,Wayne,,Christian,,,TRUE,state,us,tx,lower,9,Republican,9959,ce82884b39b14d3c8cf0a1c53a7a18e9,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2525.jpg,51:42.2,43:28.4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,100
TXL000234,Ellen Cohen,Ellen,,Cohen,,,FALSE,state,us,tx,lower,,,59409,b82ad35f1ad1431ab535e13258cfc764,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2425.jpg,51:42.2,41:26.1,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,44
TXL000235,Garnet Coleman,Garnet,,Coleman,,,TRUE,state,us,tx,lower,147,Democratic,5479,27e300ba40f04ac4ad14b0129bccd776,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2435.jpg,51:42.2,43:28.1,1,136,0,0,1,0,0,0,0,0,0,0,0,0,0,40
TXL000236,Byron Cook,Byron,,Cook,,,TRUE,state,us,tx,lower,8,Republican,50125,74bb25235f034a94a79dd4b664b19299,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2450.jpg,51:42.2,43:28.0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,82
TXL000237,Frank Corte Jr.,Frank,,Corte,Jr.,,FALSE,state,us,tx,lower,,,5482,61f2517465bb4d1ba28bf3ca55f80a51,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2595.jpg,51:42.2,41:26.1,1,57,0,0,0,0,0,0,0,1,0,1,0,0,0,91
TXL000238,Joe Crabb,Joe,,Crabb,,,FALSE,state,us,tx,lower,,,5484,dbb71d9bed1d420eb13ce0586dddcca5,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2605.jpg,51:42.2,41:26.1,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,64
TXL000239,Tom Craddick,Tom,,Craddick,,,TRUE,state,us,tx,lower,82,Republican,5485,41f2908476ac48408a1df3471e9e6b51,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2610.jpg,51:42.2,43:28.4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,82
TXL000240,Brandon Creighton,Brandon,,Creighton,,,TRUE,state,us,tx,lower,16,Republican,50127,a22b59c6dbe943b9915f1cecd268c38c,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2615.jpg,51:42.2,43:28.0,0,137,0,1,1,0,0,0,0,0,0,0,0,0,0,91
