,data.v2,APL,APL.r,Trans,Trans.r,Small,Bills,ConApproval,SW,5DayQ,5dayAPL,5dayCC,5dayMod,5dayComm,10DayQ,10dayAPL,10dayCC,10dayMod,10dayComm,15dayQ,15dayAPL,15dayCC,15dayMod,15dayComm,date2,5dayCCf,5dayCCr,5dayAPLf,5dayAPLr,10dayCCf,10dayCCr,10dayAPLf,10dayAPLr,15dayCCf,15dayCCr,15dayAPLf,15dayAPLr
1025,3/20/01,2.110263968,1.941155321,0.594790598,0.276579229,1.978190158,205,55,7.669613117,1.576451027,1.440002119,0.757487754,0.147612629,15,1.416936916,1.325308507,0.798167241,0.140344518,12,1.347332012,1.150340115,0.876325287,0.061442393,12,3/20/01,0.535114263,238.8058036,1.587186401,0.528332833,0.647231376,289.9508929,1.523545362,0.519626834,0.809948181,363.9955357,1.443799437,0.509781798
1026,3/21/01,1.807939063,1.872563119,0.796664112,0.357009825,2.311254463,95,55,5.920770291,1.585017202,1.427773225,0.774244023,0.148881015,16,1.397268729,1.298997942,0.808227681,0.126322791,12,1.350324091,1.22033792,0.832446831,0.098249869,12,3/21/01,0.544268084,242.2276786,1.58250789,0.527684671,0.671612643,300.9375,1.51114873,0.517990996,0.744404589,334.0892857,1.47442973,0.513448947
1027,3/22/01,1.614654688,1.597560123,0.777042501,0.653052205,1.177265527,198,55,7.190803406,1.542704641,1.397500791,0.788695259,0.204620741,14,1.384520973,1.27089015,0.818990029,0.127809926,12,1.339170146,1.194988663,0.844158181,0.093176306,12,3/22/01,0.576258203,256.9776786,1.563921181,0.525008658,0.700084109,312.9017857,1.497574605,0.516287185,0.772495149,344.9151786,1.463085251,0.512078735
1028,3/26/01,1.701834862,5.186466165,0.886102095,0.129648241,20.82913654,28,55,6.571069216,1.737654682,1.525631654,0.740034989,0.226100329,15,1.385840601,1.291923973,0.80823301,0.135762894,12,1.343657097,1.209920274,0.836954884,0.100613696,12,3/26/01,0.454975987,204.0959821,1.634297599,0.535595235,0.679784146,303.9196429,1.507561821,0.517558998,0.755863137,338.5357143,1.469713766,0.512879985
1029,3/27/01,1.907408906,1.864818033,0.745287012,0.346753222,2.101336974,203,55,6.633656457,1.692195106,1.514958117,0.736195206,0.226484035,13,1.394249865,1.297932144,0.804096705,0.139439817,12,1.351282987,1.220703635,0.83388784,0.105867224,12,3/27/01,0.465809709,208.5200893,1.627811401,0.534591891,0.670948561,300.9330357,1.510769215,0.517991646,0.746715159,333.9285714,1.474690396,0.513469677
1030,3/28/01,2.04135862,2.028917985,0.744410496,0.236153275,3.133023836,134,55,6.720584808,1.717275634,1.523271681,0.743921546,0.233307001,13,1.388508118,1.282363144,0.810838005,0.131327976,12,1.354249855,1.22428764,0.833257075,0.10468769,12,3/28/01,0.463952083,206.6227679,1.630591842,0.535019093,0.683043751,307.5848214,1.503551454,0.517034794,0.744575183,332.3973214,1.476019195,0.513667777
1031,3/29/01,1.926404453,1.870750439,0.613145159,0.321679493,1.851008063,181,55,7.327761314,1.733814997,1.534461403,0.728301493,0.248831355,13,1.397133261,1.292122504,0.808055729,0.137239556,12,1.350035019,1.209554559,0.83961995,0.096324791,12,3/29/01,0.449443778,201.1049107,1.638376378,0.53628817,0.677653282,303.4151786,1.508129095,0.517631727,0.75468685,338.6919643,1.469732243,0.512860151
1032,3/30/01,1,3.560303239,1,0.081081081,43.91040662,10,55,6.957075308,2.791758854,1.809429375,0.606394987,0.182911361,30,1.424874318,1.334137906,0.791772354,0.167378771,12,1.34834243,1.221288779,0.835107751,0.103237779,12,3/30/01,0.216043139,96.375,1.806584072,0.573236007,0.637265211,285.59375,1.52883559,0.520295778,0.74264341,333.6785714,1.474719859,0.513501948
1033,4/3/01,1.839977464,1.771517458,0.874138342,0.480266574,1.7523899,258,55,7.288225789,1.997975573,1.63083149,0.687029355,0.163069332,20,1.428880719,1.372451872,0.757702435,0.15477912,13,1.349441819,1.211759297,0.839092049,0.100064018,12,4/3/01,0.355259349,159.1674107,1.701373742,0.547508795,0.598443486,268.0111607,1.549678911,0.523121939,0.750508593,337.75,1.470746944,0.512979888
1034,4/4/01,1.602838181,1.53245346,0.69983189,0.719413767,0.930063496,397,55,9.087289364,1.568326266,1.482038244,0.708189369,0.141219703,16,1.368479324,1.30213264,0.784060489,0.129690954,12,1.344800369,1.181248237,0.851531384,0.088836384,12,4/4/01,0.489836838,219.390625,1.612899489,0.532229186,0.66849999,299.1383929,1.512907978,0.518254045,0.783421231,350.7857143,1.45719529,0.511356542
